label,threshold,mean_grad,high_grad_count,dispersion,low_value_ratio,extreme_std_score,contrast_entropy,band_only_accuracy
0,0,0.215,0.591,0.266,1.0,1.0,0.284,0.78
0,0,0.491,0.505,0.054,1.0,0.991,0.532,0.893
0,0,0.943,0.077,0.529,1.0,0.958,0.566,0.91
0,0,0.214,0.1,0.0,0.0,0.883,0.116,0.913
0,0,0.066,0.0,0.129,1.0,0.688,0.0,0.832
0,0,0.467,0.196,0.295,1.0,0.99,0.347,0.894
0,0,0.831,0.98,0.543,1.0,0.469,1.0,0.838
0,0,0.554,0.227,0.879,1.0,0.432,0.499,0.927
0,0,0.0,0.283,0.275,1.0,0.289,0.06,0.91
0,0,1.0,0.373,1.0,1.0,0.131,0.775,0.944
0,0,0.434,1.0,0.683,1.0,0.0,0.66,0.945
0,0.1,0.745,0.046,0.0,1.0,1.0,0.284,0.78
0,0.1,0.659,0.336,0.167,1.0,0.991,0.532,0.893
0,0.1,1.0,0.524,0.601,1.0,0.958,0.566,0.91
0,0.1,0.386,0.053,0.119,0.0,0.883,0.116,0.913
0,0.1,0.052,0.0,0.105,1.0,0.688,0.0,0.832
0,0.1,0.736,0.212,0.267,1.0,0.99,0.347,0.894
0,0.1,0.863,1.0,0.561,1.0,0.469,1.0,0.838
0,0.1,0.37,0.602,0.755,1.0,0.432,0.499,0.927
0,0.1,0.0,0.033,0.1,1.0,0.289,0.06,0.91
0,0.1,0.823,0.936,1.0,1.0,0.131,0.775,0.944
0,0.1,0.563,0.727,0.429,1.0,0.0,0.66,0.945
0,0.2,0.761,0.034,0.009,1.0,1.0,0.284,0.78
0,0.2,0.742,0.014,0.0,1.0,0.991,0.532,0.893
0,0.2,0.455,0.62,0.621,1.0,0.958,0.566,0.91
0,0.2,0.401,0.034,0.065,0.0,0.883,0.116,0.913
0,0.2,0.0,0.026,0.053,1.0,0.688,0.0,0.832
0,0.2,0.485,0.192,0.2,1.0,0.99,0.347,0.894
0,0.2,1.0,0.31,0.183,1.0,0.469,1.0,0.838
0,0.2,0.019,0.538,0.607,1.0,0.432,0.499,0.927
0,0.2,0.091,0.0,0.037,1.0,0.289,0.06,0.91
0,0.2,0.279,1.0,1.0,1.0,0.131,0.775,0.944
0,0.2,0.396,0.544,0.336,1.0,0.0,0.66,0.945
0,0.3,0.491,0.104,0.062,1.0,1.0,0.284,0.78
0,0.3,0.966,0.0,0.0,1.0,0.991,0.532,0.893
0,0.3,0.234,0.678,0.648,1.0,0.958,0.566,0.91
0,0.3,0.482,0.056,0.053,0.0,0.883,0.116,0.913
0,0.3,0.108,0.074,0.061,1.0,0.688,0.0,0.832
0,0.3,0.309,0.21,0.2,1.0,0.99,0.347,0.894
0,0.3,1.0,0.072,0.049,1.0,0.469,1.0,0.838
0,0.3,0.0,0.427,0.461,1.0,0.432,0.499,0.927
0,0.3,0.257,0.061,0.057,1.0,0.289,0.06,0.91
0,0.3,0.138,1.0,1.0,1.0,0.131,0.775,0.944
0,0.3,0.37,0.437,0.286,1.0,0.0,0.66,0.945
0,0.4,0.624,0.055,0.034,1.0,1.0,0.284,0.78
0,0.4,0.0,0.0,0.0,1.0,0.991,0.532,0.893
0,0.4,0.401,0.787,0.76,1.0,0.958,0.566,0.91
0,0.4,0.439,0.023,0.022,0.0,0.883,0.116,0.913
0,0.4,0.419,0.058,0.045,1.0,0.688,0.0,0.832
0,0.4,0.419,0.22,0.212,1.0,0.99,0.347,0.894
0,0.4,1.0,0.012,0.011,1.0,0.469,1.0,0.838
0,0.4,0.262,0.372,0.41,1.0,0.432,0.499,0.927
0,0.4,0.372,0.041,0.038,1.0,0.289,0.06,0.91
0,0.4,0.335,1.0,1.0,1.0,0.131,0.775,0.944
0,0.4,0.548,0.351,0.23,1.0,0.0,0.66,0.945
0,0.5,1.0,0.02,0.01,1.0,1.0,0.284,0.78
0,0.5,0.0,0.0,0.0,1.0,0.991,0.532,0.893
